Protein-Name,note about a transporter encoded by the gene,Gene association,Substrate,Subtype,Family,Family Name,Transporter Class,Transport Reaction,TC number
SCO4666,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO4830,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4831,,,glycine betaine/L-proline,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4832,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4884,"Uniprot: 90% seq similarity wirh  SLIV_13955, S.lividans TK24",,"sugar, lipoprotein",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO4885,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4886,,,sugar,ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4887,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4888,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4936,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO4963,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO4964,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5035,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO5110,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5112,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5113,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5114,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5115,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5116,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,glyb_e[e]+h2o_c[c]+atp_c[c]->glyb_c[c]+ adp_c[c]+h_c[c],3.A.1
SCO5117,,,oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5118,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5119,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5120,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5121,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5129,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5130,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5232,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5233,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5234,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5258,,,phosphate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5259,,,amino aicd (glutamine/glutamate/aspartate?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5260,,,amino acid (glutamine/glutamate/aspartate?),binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5382,,,Unclassified,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5383,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5393,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5395,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5428,"UniProt, TransporterDB: N,N'-diacetylchitobiose",,"sugar, chitobiose",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,chtbs_e[e] + h2o_c[c] + atp_c[c]->chtbs_c[c] + adp_c[c] + hc_c[c],3.A.1
SCO5429,"UniProt, TransporterDB: N,N'-diacetylchitobiose",,"sugar, chitobiose",membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,chtbs_e[e] + h2o_c[c] + atp_c[c]->chtbs_c[c] + adp_c[c] + hc_c[c],3.A.1
SCO5430,"UniProt, TransporterDB: N,N'-diacetylchitobiose",,"sugar, chitobiose",binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,chtbs_e[e] + h2o_c[c] + atp_c[c]->chtbs_c[c] + adp_c[c] + hc_c[c],3.A.1
SCO5448,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5449,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5450,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5451,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5452,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5453,"UniProt, TransporterDB: www.tcdb.org/search/results.php?tc=3.A.1: lipopolysaccharide exporter",,Unclassified,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO5476,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5477,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_e[e] + h2o_c[c] + atp_c[[c] -> lproc_c[c]+ h_c[c] + adp_c[c] + pi_c[c],3.A.1
SCO5478,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5479,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5480,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,glyb_e[e]+h2o_c[c]+atp_c[c]->glyb_c[c]+ adp_c[c]+h_c[c],3.A.1
SCO5646,,,thiamin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5647,,,iron(III),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5648,,,polyamine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5654,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO5658,,,spermidine/putrescine,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5667,,,spermidine/putrescine,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5668,,,polyamine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5669,,,spermidine/putrescine,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5670,,,spermidine/putrescine,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5686,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5687,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5688,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5712,,,sulfate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5713,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5714,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5715,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5716,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5774,,,amino aicd (glutamine/glutamate/aspartate?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5775,,,amino aicd (glutamine/glutamate/aspartate?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5776,,,amino acid (glutamine/glutamate/aspartate?),binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5777,,,phosphate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5780,,,phosphonates,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5818,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5870,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,lproc_c[c] + h2o_c[c] + atp_c[c] -> lproc_e[e]+ h_c[c] + adp_e[e] + pi_e[e],3.A.1
SCO5911,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5923,,,polyamine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5924,,,iron(III),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5958,,,cobalt,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5959,,,cobalt ion,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,cobalt_2_e[e]+atp_c[c]+h2o_c[c]->cobalt2_c[c] + adp_c[c]+h_c[c],3.A.1
SCO5960,,,cobalt ion,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,cobalt_2_e[e]+atp_c[c]+h2o_c[c]->cobalt2_c[c] + adp_c[c]+h_c[c],3.A.1
SCO5961,"UniProt, KEGG:cobalt/nickel transport",,Unclassified,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,ni2_e[e]+h2o_c[c] + atp_c[c]-> ni2_c[c] + adp_c[c] + h_c[c],3.A.1
SCO6005,,,N-acetylglucosamine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6006,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6007,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6009,,,xylose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6010,,,sugar (ribose?),ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6011,,,sugar (xylose?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6047,,,heme,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] +heme_e[e]  -> h_c[c] + heme_c[c] + adp_c[c] + h_c[c],3.A.1
SCO6062,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6063,,,glycine betaine/L-proline/carnitine/choline,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6064,,,glycine betaine/L-proline/carnitine/choline,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6065,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6070,,,rhamnose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6086,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6087,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6088,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6094,,,nitrate/sulfonate/taurine,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6095,,,nitrate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6096,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6111,,,D-methionine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6112,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6113,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6114,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6149,,,Unclassified,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6229,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6230,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6231,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6257,,,ribose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6258,,,sugar (ribose?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6259,,,sugar (ribose?),ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6295,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6360,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6366,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6367,,,lipoprotein,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6426,,,phosphonate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6451,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6452,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6453,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6454,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6455,,,D-methionine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6512,,,heme,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6567,,,sugar (ribose?),ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6568,,,sugar (ribose?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6569,,,xylose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6601,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6602,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6603,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6644,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6645,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6677,,,nitrate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6683,,,toxin secretion,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6684,,,toxin secretion,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6720,,,cobalt,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6742,,,heme,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6757,,,polysaccharide export,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6758,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6814,,,phosphate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6815,,,phosphate,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO6979,,,rhamnose,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,rmn_e[e] + h2o_c[c]+atp_c[c]->rmn_c[c] + adp_c[c] +h_c[c],3.A.1
SCO6980,,,sugar (ribose?),membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,rib__D_e[e] +h2o_c[c] + atp_c[c]->rib__D_c[c] + adp_c[c] + h_c[c],3.A.1
SCO6981,,,sugar (ribose?),ABC,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,rib__D_e[e] +h2o_c[c] + atp_c[c]->rib__D_c[c] + adp_c[c] + h_c[c],3.A.1
SCO6986,,,carbohydrate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7008,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7011,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7012,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7013,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7028,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7029,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7030,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7165,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7166,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7167,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7181,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7182,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7183,,,branched-chain amino acid,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7184,,,branched-chain amino acid,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7185,,,leucine/valine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7216,,,cobalamin/Fe3+-siderophores,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7217,,,phosphonate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7218,,,cobalamin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7398,,,cobalamin/Fe3+-siderophores,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7399,,,iron-hydroxamate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7400,,,phosphonate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7408,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7409,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7410,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7459,,,daunorubicin,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7487,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7488,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7489,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7504,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7505,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7544,,,nitrate/sulfonate/taurine,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7545,,,nitrate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7546,,,phosphonates,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7555,,,sugar,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7556,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7557,,,sugar,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7563,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7564,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7565,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7566,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,glyb_e[e]+h2o_c[c]+atp_c[c]->glyb_c[c]+ adp_c[c]+h_c[c],3.A.1
SCO7567,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,glyb_e[e]+h2o_c[c]+atp_c[c]->glyb_c[c]+ adp_c[c]+h_c[c],3.A.1
SCO7606,,,leucine/valine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,"leu__L_e[e] +h2o_c[c] + atp_c[c] -> leu__L_c[c] +adp_c[c] + h_c[c], val__L_e[e] + adp_c[c] + h_c[c]",3.A.1
SCO7677,,,dipeptide/oligopeptide,binding protein,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7678,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7679,,,dipeptide/oligopeptide,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7680,,,sulfate,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,so4_e[e] + h2o_c[c] + atp_c[c] -> so4_c[c] + adp_c[c] + h_c[c],3.A.1
SCO7689,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO7690,,,lipid A,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO5009,,,heme,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] +heme_e[e]  -> h_c[c] + heme_c[c] + adp_c[c] + h_c[c],3.A.1
SCO1461,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,glyb_e[e]+h2o_c[c]+atp_c[c]->glyb_c[c]+ adp_c[c]+h_c[c],3.A.1
SCO1252,,,glycine betaine,binding,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,glyb_e[e]+h2o_c[c]+atp_c[c]->glyb_c[c]+ adp_c[c]+h_c[c],3.A.1
SCO4475,,,heme export,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,h2o_c[c] + atp_c[c] +heme_c[c]  -> h_e[e] + heme_e[e] + adp_e[e] + h_e[e],3.A.1
SCO3338,,,multidrug,membrane,ABC,The ATP-binding Cassette (ABC) Superfamily,ATP-Dependent,,3.A.1
SCO3578,,,arsenite (ArsA),,ArsAB,The Arsenite-Antimonite (ArsAB) Efflux Family,ATP-Dependent,,3.A.4
